gene,start,stop
ltr5_u3,1,455
ltr5_repeat,456,551
ltr5_unique,552,634
5primer,638,666
x1,667,789
psi_sl1,697,731
psi_sl2,736,754
psi_sl3,766,779
psi_sl4,793,806
gag,790,2292
p17,790,1185
p24,1186,1878
p2,1879,1920
p7,1921,2085
p1,2086,2133
p6,2134,2289
pol,2253,5096
protease,2253,2549
rt,2550,4229
rnase,3870,4229
integrase,4230,5096
vif,5041,5619
vpr,5559,5850
tat_exon1,5831,6045
rev_exon1,5970,6045
x2,6046,6061
d4,6045,6051
vpu,6062,6310
env,6225,8795
gp120,6225,7757
v3loop,7110,7217
tat_exon2,8379,8469
rev_exon2,8379,8653
gp41,7758,8795
x3,8796,8796
nef,8797,9417
ltr3_u3_start,9086,9540
ltr3,9086,9603
ltr3_repeat,9541,9636
3primer,9604,9632
ltr3_u5,9637,9719
